carrera,promedio_anterior,semestre,materias,transporte,trabajo,beca,sexo,edad,estado_civil,suma_ansiedad,nivel_ansiedad,carrera_cod,sexo_cod,estado_civil_cod
ICD,92.6,2,8,0,0,0,M,21,Soltero,9,Alto,0,0,1
ICD,86.2,1,7,3,0,0,F,21,Soltero,1,Bajo,0,1,1
IGE,87.3,10,6,1,1,0,F,21,Soltero,3,Bajo,1,1,1
ICD,71.3,8,4,1,0,0,F,26,Soltero,0,Bajo,0,1,1
ICD,86.7,8,8,2,0,0,M,24,Soltero,2,Bajo,0,0,1
ICD,71.1,1,6,3,0,0,M,20,Soltero,0,Bajo,0,0,1
ISC,84.7,8,5,3,0,0,M,20,Soltero,5,Bajo,3,0,1
ICD,95.0,9,4,1,0,0,F,23,Soltero,1,Bajo,0,1,1
ICD,83.9,4,7,1,1,0,F,23,Soltero,5,Bajo,0,1,1
IGE,81.8,1,4,3,0,1,F,21,Soltero,3,Bajo,1,1,1
ICD,77.8,1,5,0,1,0,F,26,Soltero,0,Bajo,0,1,1
ICD,73.0,3,8,3,1,1,M,21,Soltero,0,Bajo,0,0,1
IINF,88.3,5,8,3,0,0,F,26,Soltero,8,Alto,2,1,1
IGE,74.8,5,8,1,1,0,M,21,Soltero,1,Bajo,1,0,1
IGE,72.9,9,7,1,0,0,F,19,Soltero,2,Bajo,1,1,1
IGE,80.5,10,6,0,0,0,M,19,Soltero,1,Bajo,1,0,1
IGE,89.9,2,6,0,0,0,M,22,Soltero,4,Bajo,1,0,1
IGE,88.6,2,4,2,0,1,F,21,Soltero,1,Bajo,1,1,1
IGE,71.4,6,7,3,0,0,F,24,Soltero,2,Bajo,1,1,1
ISC,81.4,9,8,1,0,1,F,22,Soltero,0,Bajo,3,1,1
ICD,83.1,1,8,0,0,0,M,23,Soltero,3,Bajo,0,0,1
IGE,86.1,9,5,2,0,0,F,27,Soltero,0,Bajo,1,1,1
ICD,86.3,9,5,2,0,0,M,21,Casado,0,Bajo,0,0,0
ICD,79.1,9,8,1,1,0,F,19,Soltero,0,Bajo,0,1,1
ISC,84.0,5,8,1,1,0,M,27,Soltero,8,Alto,3,0,1
IGE,82.0,9,7,2,0,0,F,26,Soltero,0,Bajo,1,1,1
IINF,92.1,4,6,0,0,0,F,27,Soltero,3,Bajo,2,1,1
ISC,83.3,2,5,2,1,0,F,24,Soltero,1,Bajo,3,1,1
IINF,81.0,6,6,3,1,0,M,21,Soltero,0,Bajo,2,0,1
ICD,80.1,4,7,3,1,1,M,20,Soltero,6,Medio,0,0,1
ICD,84.3,6,8,1,0,0,F,27,Casado,10,Alto,0,1,0
ISC,90.1,3,6,0,0,1,M,20,Soltero,0,Bajo,3,0,1
ISC,83.5,6,8,0,0,1,F,26,Soltero,7,Medio,3,1,1
IINF,86.5,2,8,3,0,1,M,22,Casado,8,Alto,2,0,0
IGE,88.4,2,4,2,1,0,M,20,Soltero,5,Bajo,1,0,1
IINF,83.0,9,6,1,1,0,F,22,Casado,10,Alto,2,1,0
ISC,80.7,7,6,2,0,1,F,19,Soltero,1,Bajo,3,1,1
IINF,91.9,3,8,2,1,0,F,21,Casado,9,Alto,2,1,0
ISC,80.4,1,7,2,0,0,F,27,Soltero,1,Bajo,3,1,1
IINF,81.5,8,4,0,0,0,M,19,Soltero,0,Bajo,2,0,1
ISC,94.8,6,8,3,0,0,F,19,Casado,5,Bajo,3,1,0
ISC,70.0,7,5,0,1,0,M,25,Soltero,0,Bajo,3,0,1
ISC,74.6,9,5,3,0,0,F,18,Soltero,1,Bajo,3,1,1
IGE,79.6,5,4,1,1,1,F,24,Soltero,2,Bajo,1,1,1
IINF,93.3,1,7,1,1,0,M,22,Soltero,1,Bajo,2,0,1
IINF,71.8,10,8,2,0,1,F,25,Soltero,0,Bajo,2,1,1
IINF,70.2,7,6,3,0,0,F,18,Soltero,3,Bajo,2,1,1
ISC,71.3,5,4,3,1,0,M,24,Soltero,1,Bajo,3,0,1
IINF,72.2,3,7,3,0,0,F,22,Soltero,3,Bajo,2,1,1
IINF,70.9,9,6,2,1,0,M,21,Soltero,1,Bajo,2,0,1
ISC,82.0,1,5,2,1,1,M,24,Soltero,0,Bajo,3,0,1
ICD,84.5,1,5,1,0,0,M,27,Soltero,0,Bajo,0,0,1
ISC,76.8,1,6,0,0,0,M,19,Soltero,5,Bajo,3,0,1
IINF,80.0,3,4,3,1,0,F,18,Soltero,10,Alto,2,1,1
ISC,72.3,6,5,3,0,0,F,18,Soltero,9,Alto,3,1,1
ICD,78.4,10,8,0,0,0,F,18,Soltero,6,Medio,0,1,1
ISC,83.1,3,6,3,0,0,F,22,Soltero,1,Bajo,3,1,1
IINF,88.3,8,6,2,0,0,M,27,Soltero,1,Bajo,2,0,1
ICD,70.1,10,5,2,1,1,M,24,Casado,4,Bajo,0,0,0
IGE,81.7,2,4,3,1,0,M,19,Soltero,6,Medio,1,0,1
IINF,77.4,9,8,2,0,0,M,27,Soltero,5,Bajo,2,0,1
ICD,91.3,3,4,2,0,0,F,25,Soltero,9,Alto,0,1,1
ICD,87.9,5,7,3,0,1,M,21,Soltero,4,Bajo,0,0,1
IGE,84.7,10,7,1,1,0,M,20,Casado,7,Medio,1,0,0
ISC,76.9,8,5,0,0,0,M,27,Soltero,4,Bajo,3,0,1
ISC,92.8,2,5,2,0,0,F,25,Soltero,2,Bajo,3,1,1
IINF,71.1,6,5,1,0,1,F,19,Casado,7,Medio,2,1,0
IGE,72.7,5,7,2,0,0,F,20,Soltero,3,Bajo,1,1,1
ISC,79.8,10,4,2,1,1,F,20,Soltero,1,Bajo,3,1,1
IGE,73.1,9,4,0,0,0,F,27,Soltero,1,Bajo,1,1,1
ISC,93.9,5,5,2,0,0,F,18,Soltero,7,Medio,3,1,1
ICD,89.9,2,8,0,0,1,M,23,Casado,9,Alto,0,0,0
ISC,76.5,5,4,0,1,0,F,19,Casado,1,Bajo,3,1,0
IGE,84.7,4,7,0,0,1,F,18,Soltero,4,Bajo,1,1,1
ICD,94.6,7,6,1,0,1,F,19,Soltero,4,Bajo,0,1,1
ICD,92.1,6,6,3,0,1,F,23,Casado,0,Bajo,0,1,0
ICD,85.0,2,6,1,1,0,M,21,Soltero,1,Bajo,0,0,1
IGE,92.6,5,8,3,0,1,F,23,Soltero,0,Bajo,1,1,1
IINF,94.7,7,5,3,0,0,F,26,Casado,10,Alto,2,1,0
IINF,88.6,7,7,0,0,1,M,27,Soltero,3,Bajo,2,0,1
IINF,71.6,5,8,2,1,0,F,27,Soltero,1,Bajo,2,1,1
IGE,80.0,9,7,0,0,1,M,25,Soltero,0,Bajo,1,0,1
ICD,90.9,4,7,2,1,0,F,18,Casado,0,Bajo,0,1,0
IINF,75.8,3,5,3,0,0,F,25,Soltero,3,Bajo,2,1,1
IGE,90.8,4,6,0,0,0,M,26,Soltero,3,Bajo,1,0,1
IINF,73.0,5,5,2,0,1,F,23,Soltero,3,Bajo,2,1,1
ISC,71.2,6,8,1,1,0,M,27,Soltero,3,Bajo,3,0,1
IINF,79.6,3,8,2,0,0,F,22,Soltero,2,Bajo,2,1,1
IINF,70.9,2,8,0,1,1,M,23,Soltero,2,Bajo,2,0,1
ICD,93.9,4,5,1,1,0,F,23,Soltero,3,Bajo,0,1,1
IGE,90.7,5,7,2,0,0,M,26,Soltero,0,Bajo,1,0,1
ICD,90.0,4,7,2,1,0,F,21,Casado,2,Bajo,0,1,0
ICD,85.7,3,4,2,1,0,M,19,Soltero,0,Bajo,0,0,1
ICD,75.4,8,8,2,0,0,F,26,Casado,3,Bajo,0,1,0
ICD,83.0,10,7,2,0,0,F,19,Soltero,3,Bajo,0,1,1
ICD,84.9,4,4,1,1,0,F,27,Soltero,0,Bajo,0,1,1
IINF,83.1,2,7,3,0,0,F,26,Soltero,6,Medio,2,1,1
ICD,76.5,2,8,1,1,0,F,19,Soltero,5,Bajo,0,1,1
ICD,82.9,1,6,1,1,0,M,25,Casado,7,Medio,0,0,0
IGE,82.3,4,8,1,0,0,M,26,Soltero,10,Alto,1,0,1
ISC,94.9,10,5,3,0,1,M,27,Soltero,0,Bajo,3,0,1
IINF,92.4,9,7,0,0,0,F,26,Soltero,10,Alto,2,1,1
IINF,81.6,7,7,3,0,0,F,27,Soltero,4,Bajo,2,1,1
IINF,85.6,10,5,1,0,1,M,26,Soltero,3,Bajo,2,0,1
ICD,88.7,7,5,2,0,1,F,19,Soltero,2,Bajo,0,1,1
ICD,70.9,7,6,2,0,0,F,21,Soltero,0,Bajo,0,1,1
ICD,92.4,8,7,1,1,0,F,24,Soltero,5,Bajo,0,1,1
IGE,91.5,1,7,2,1,1,M,19,Soltero,3,Bajo,1,0,1
ISC,81.4,10,6,1,0,0,M,18,Soltero,0,Bajo,3,0,1
ICD,79.8,10,4,2,0,1,F,20,Soltero,1,Bajo,0,1,1
ISC,76.8,8,6,3,0,0,F,21,Soltero,4,Bajo,3,1,1
IGE,81.9,4,8,0,0,1,M,25,Soltero,0,Bajo,1,0,1
IINF,71.1,4,7,0,1,0,F,23,Soltero,7,Medio,2,1,1
ICD,91.3,4,5,3,1,0,F,19,Soltero,3,Bajo,0,1,1
ISC,70.9,6,8,3,1,0,F,26,Soltero,4,Bajo,3,1,1
ISC,78.2,7,7,1,1,0,F,19,Casado,0,Bajo,3,1,0
ICD,93.3,6,6,1,0,0,M,22,Soltero,1,Bajo,0,0,1
IINF,88.4,1,8,1,1,1,M,21,Soltero,0,Bajo,2,0,1
IINF,77.0,8,7,2,0,1,F,24,Casado,6,Medio,2,1,0
IINF,76.3,10,4,1,1,0,M,25,Casado,1,Bajo,2,0,0
IGE,70.1,7,4,3,0,1,M,22,Soltero,0,Bajo,1,0,1
ISC,87.4,6,5,0,1,1,M,27,Casado,1,Bajo,3,0,0
ISC,71.2,6,7,2,1,0,M,22,Soltero,1,Bajo,3,0,1
ISC,83.3,5,4,1,0,0,M,19,Soltero,8,Alto,3,0,1
IGE,94.1,6,6,2,0,0,M,25,Soltero,7,Medio,1,0,1
ISC,72.7,9,7,2,1,0,M,19,Soltero,4,Bajo,3,0,1
IGE,92.4,10,6,1,0,0,M,27,Soltero,0,Bajo,1,0,1
IINF,94.8,9,6,2,0,1,F,23,Soltero,4,Bajo,2,1,1
ICD,71.5,10,4,0,0,0,F,25,Soltero,6,Medio,0,1,1
ISC,92.1,8,7,3,0,1,F,23,Casado,3,Bajo,3,1,0
ISC,82.9,10,8,3,1,0,M,21,Casado,6,Medio,3,0,0
IINF,92.7,9,4,0,0,0,M,21,Soltero,6,Medio,2,0,1
ICD,84.3,10,4,2,0,1,F,23,Casado,3,Bajo,0,1,0
IGE,86.6,8,7,1,0,1,F,21,Casado,4,Bajo,1,1,0
ICD,83.6,8,7,2,0,0,M,25,Soltero,1,Bajo,0,0,1
IINF,91.6,1,6,0,0,0,M,26,Soltero,2,Bajo,2,0,1
IINF,88.3,10,7,2,0,0,F,18,Soltero,1,Bajo,2,1,1
ICD,83.0,5,6,3,0,0,M,21,Casado,3,Bajo,0,0,0
IGE,91.7,4,4,2,0,0,M,21,Soltero,7,Medio,1,0,1
IGE,76.1,2,5,0,1,0,F,19,Soltero,10,Alto,1,1,1
ISC,73.9,8,8,3,0,0,M,23,Soltero,1,Bajo,3,0,1
IGE,74.0,3,4,2,0,0,M,20,Soltero,2,Bajo,1,0,1
ICD,78.4,4,7,2,0,0,M,24,Soltero,0,Bajo,0,0,1
IINF,76.0,7,8,3,0,0,F,22,Soltero,0,Bajo,2,1,1
ISC,93.3,10,5,1,0,0,M,21,Soltero,0,Bajo,3,0,1
ISC,72.6,9,5,3,0,0,M,22,Casado,2,Bajo,3,0,0
IINF,87.5,2,6,1,1,1,M,25,Casado,2,Bajo,2,0,0
IGE,74.7,3,8,0,0,0,F,20,Soltero,6,Medio,1,1,1
IINF,92.0,4,6,0,0,1,M,24,Casado,1,Bajo,2,0,0
IGE,94.0,10,4,3,1,0,F,23,Soltero,0,Bajo,1,1,1
IINF,81.6,1,8,3,0,0,M,18,Soltero,3,Bajo,2,0,1
